                 r                    i01                i02                i03                    i04                    i05 i06 i07 i08 i09 i10 i11 i12 i13 i14
8582932800000000.0  6.513696788005956e-11 1.5305262330583322 1239.7408916192535  7.442537709634687e-05 4.3701500091592404e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8682897600000000.0   6.19029907930616e-11 1.4784277114881956 1143.1485813377788  5.904458700304435e-05  2.782185470113874e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8782862400000000.0  5.889925088557402e-11  1.429222211973528 1055.0578720853184  4.693145932780412e-05 1.7772820168633077e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8882827200000000.0  5.621230716279199e-11  1.384503673311207  974.6344558822229 3.7272917304960504e-05 1.1319966361889785e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8982792000000000.0 5.3912855550695006e-11 1.3456766093583619  901.1338281682629 2.9497401716840672e-05                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9082756800000000.0 5.1645454575889666e-11 1.3068247047564594  833.8979241499469 2.3462368373158444e-05                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9182721600000000.0  4.978933324654733e-11 1.2745955005333942   772.326066751123 1.8555690340451607e-05                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9282686400000000.0  4.813927190546103e-11 1.2455873470486731  715.8895572770326  1.466240856059387e-05                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9382651200000000.0  4.668124508136848e-11 1.2196531145121274  664.1113439231827 1.1574408579731772e-05                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9482616000000000.0   4.54016306601651e-11 1.1966375499419386  616.5631171400502   9.12684657798732e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9582580800000000.0 4.4288045454168374e-11 1.1763932865666482  572.8598745558146  7.188591911734053e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9682545600000000.0  4.332955371972972e-11 1.1587861508133848  532.6551473514246  5.655171373458564e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9782510400000000.0 4.2516672084368264e-11 1.1436967974503798  495.6367972431686  4.443316339734278e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9882475200000000.0  4.184130565168172e-11 1.1310209368563815  461.5233095050088 3.4866691124203746e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9982440000000000.0  4.129666469224522e-11  1.120669005670043  430.0605187091867 2.7323731924782725e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.00824048e+16  4.087718161017556e-11  1.112565636494376 401.01871277368855 2.1383543037783696e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.01823696e+16 4.0578436305352094e-11  1.106649086149994  374.1900683131305 1.6711477849017971e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.02823344e+16   4.03970932020544e-11 1.1028706970177764  349.3863765652644 1.3041609012324986e-06                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
