i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08
1        0 3.440e+06 7.100e+07 8.860e+01 6.530e+03    1e-20    1e-20    1e-20    1e-20 2.64e-12 8.74e-08 0.000309      1.0
1        0 5.340e+06 7.100e+07 1.200e+02 8.830e+03    1e-20    1e-20    1e-20    1e-20 5.17e-13 2.81e-08 0.000156      1.0
1        0 7.430e+06 7.100e+07 1.620e+02 1.190e+04    1e-20    1e-20    1e-20    1e-20 9.68e-14 9.15e-09 8.59e-05      1.0
1        0 9.360e+06 7.100e+07 2.200e+02 1.620e+04    1e-20    1e-20    1e-20    1e-20  2.1e-14 3.32e-09 5.14e-05      1.0
1        1 1.060e+07 7.100e+07 2.970e+02 2.190e+04    1e-20    1e-20    1e-20    1e-20 5.93e-15 1.44e-09 3.39e-05      1.0
1        2 1.060e+07 7.100e+07 4.020e+02 2.960e+04    1e-20    1e-20    1e-20    1e-20  2.4e-15  7.9e-10 2.51e-05      1.0
1        2 1.060e+07 7.100e+07 5.440e+02 4.010e+04    1e-20    1e-20    1e-20    1e-20 9.69e-16 4.33e-10 1.86e-05      1.0
1        2 1.060e+07 7.100e+07 7.360e+02 5.420e+04 2.81e-20 1.37e-19 6.15e-19 2.46e-18 4.04e-16 2.37e-10 1.37e-05      1.0
1        2 1.060e+07 7.100e+07 9.960e+02 7.330e+04 1.87e-20 9.09e-20  4.1e-19 1.64e-18 1.66e-16  1.3e-10 1.02e-05      1.0
1        2 1.060e+07 7.100e+07 1.350e+03 9.920e+04    1e-20 1.19e-20 5.34e-20 2.14e-19 6.55e-17 7.09e-11 7.52e-06      1.0
1        2 1.060e+07 7.100e+07 1.820e+03 1.340e+05    1e-20    1e-20    1e-20    1e-20 2.61e-17 3.88e-11 5.56e-06      1.0
1        2 1.060e+07 7.100e+07 2.470e+03 1.820e+05    1e-20    1e-20    1e-20    1e-20 8.21e-18 2.12e-11 4.11e-06      1.0
1        2 1.060e+07 7.100e+07 3.340e+03 2.460e+05    1e-20    1e-20    1e-20    1e-20 2.65e-18 1.16e-11 3.04e-06      1.0
1        2 1.060e+07 7.100e+07 4.520e+03 3.320e+05    1e-20    1e-20    1e-20    1e-20 1.76e-18 6.33e-12 2.25e-06      1.0
1        2 1.060e+07 7.100e+07 6.110e+03 4.500e+05    1e-20    1e-20    1e-20    1e-20 6.97e-19 3.46e-12 1.66e-06      1.0
1        2 1.060e+07 7.100e+07 8.270e+03 6.090e+05    1e-20    1e-20    1e-20    1e-20 2.82e-19 1.89e-12 1.23e-06      1.0
1        2 1.060e+07 7.100e+07 1.120e+04 8.230e+05    1e-20    1e-20    1e-20    1e-20 1.14e-19 1.03e-12 9.07e-07      1.0
