i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15      i16      i17      i18      i19      i20      i21      i22      i23      i24      i25      i26      i27
1        0 1.580e+04 7.100e+07 9.070e-04 6.680e-02 1.09e-07 1.44e-05  0.00227   0.0706    0.353    0.416    0.154  0.00404 3.42e-05 3.89e-06  5.3e-08  6.2e-10  4.6e-12 4.68e-13 1.58e-14 1.13e-15 1.55e-17 2.92e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.660e+04 7.100e+07 1.230e-03 9.040e-02 2.43e-08 4.23e-06 0.000929   0.0401    0.278    0.448    0.226  0.00728 6.65e-05  8.1e-06 9.87e-08 1.59e-09 1.25e-11 1.36e-12 4.06e-14 3.96e-15 5.77e-17 1.11e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.720e+04 7.100e+07 1.660e-03 1.220e-01 6.47e-09 1.19e-06  0.00036   0.0215    0.205    0.451     0.31   0.0125 0.000124  1.6e-05  1.8e-07 3.88e-09 3.25e-11 3.74e-12 1.02e-13 1.32e-14 2.06e-16 4.21e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.780e+04 7.100e+07 2.250e-03 1.650e-01 4.41e-09 3.24e-07 0.000131   0.0108    0.142    0.426      0.4   0.0207 0.000222 3.02e-05 3.23e-07 9.14e-09 8.19e-11 9.89e-12 2.57e-13 4.28e-14  7.2e-16  1.6e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.840e+04 7.100e+07 3.040e-03 2.240e-01 5.28e-09 9.12e-08 4.49e-05   0.0051   0.0921    0.381    0.489   0.0327 0.000387 5.53e-05 5.81e-07 2.08e-08 2.03e-10 2.54e-11  6.5e-13 1.34e-13 2.49e-15 6.24e-18 1.13e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.900e+04 7.100e+07 4.110e-03 3.030e-01 5.92e-09 3.22e-08 1.44e-05  0.00227   0.0566    0.322    0.569   0.0499 0.000663  9.9e-05 1.06e-06 4.64e-08 4.99e-10 6.44e-11 1.68e-12 4.14e-13 8.69e-15 2.51e-17 5.56e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.980e+04 7.100e+07 5.570e-03 4.100e-01 5.81e-09 1.71e-08 4.36e-06 0.000949   0.0329    0.259    0.633   0.0736  0.00112 0.000175 1.99e-06 1.02e-07 1.24e-09 1.63e-10 4.51e-12 1.27e-12 3.09e-14 1.06e-16 2.85e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.070e+04 7.100e+07 7.530e-03 5.540e-01 5.12e-09  1.2e-08 1.25e-06 0.000377   0.0182    0.199    0.676    0.105  0.00188 0.000307 3.87e-06 2.22e-07 3.11e-09 4.11e-10 1.26e-11 3.87e-12 1.13e-13  4.7e-16 1.52e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.170e+04 7.100e+07 1.020e-02 7.500e-01 4.18e-09 8.96e-09 3.48e-07 0.000143  0.00961    0.147    0.696    0.145  0.00312 0.000535 7.87e-06 4.84e-07 8.01e-09 1.05e-09 3.71e-11 1.19e-11  4.3e-13 2.21e-15 8.56e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.280e+04 7.100e+07 1.380e-02 1.020e+00 3.22e-09 6.61e-09 9.71e-08 5.22e-05   0.0049    0.104    0.691    0.193  0.00516 0.000933 1.66e-05 1.06e-06 2.11e-08  2.7e-09 1.14e-10 3.74e-11  1.7e-12 1.09e-14  5.1e-17 6.54e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.390e+04 7.100e+07 1.870e-02 1.370e+00 2.39e-09 4.72e-09 2.91e-08 1.85e-05  0.00242   0.0718    0.665    0.251  0.00845  0.00162 3.63e-05 2.36e-06 5.71e-08 7.05e-09 3.61e-10 1.19e-10 6.92e-12 5.65e-14 3.19e-16 5.02e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.500e+04 7.100e+07 2.520e-02 1.860e+00 1.73e-09 3.28e-09 1.03e-08 6.34e-06  0.00115   0.0479    0.619    0.315   0.0137  0.00282 8.07e-05 5.33e-06 1.59e-07 1.88e-08 1.18e-09 3.93e-10 2.93e-11 3.07e-13 2.12e-15 4.08e-18 1.21e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.630e+04 7.100e+07 3.420e-02 2.510e+00 1.24e-09 2.26e-09 4.63e-09 2.09e-06 0.000531   0.0308    0.558    0.384   0.0219  0.00492 0.000183 1.24e-05 4.59e-07  5.2e-08 4.03e-09 1.35e-09  1.3e-10 1.78e-12 1.51e-14  3.6e-17 1.22e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.780e+04 7.100e+07 4.620e-02 3.400e+00 9.16e-10 1.63e-09  2.7e-09 6.57e-07 0.000233    0.019    0.486    0.451   0.0346  0.00863 0.000423    3e-05 1.39e-06 1.52e-07 1.44e-08 4.93e-09 6.12e-10 1.11e-11 1.18e-13 3.51e-16 1.36e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.970e+04 7.100e+07 6.250e-02 4.600e+00 7.74e-10 1.35e-09 2.07e-09 1.96e-07 9.71e-05   0.0112    0.407    0.512   0.0537   0.0153 0.000993 7.62e-05 4.42e-06 4.77e-07 5.44e-08 1.94e-08  3.1e-09 7.57e-11 1.04e-12 3.87e-15 1.73e-17 4.18e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 3.240e+04 7.100e+07 8.460e-02 6.230e+00 8.35e-10 1.46e-09 2.18e-09 5.74e-08 3.77e-05  0.00625    0.326    0.556   0.0819   0.0274  0.00239 0.000205 1.51e-05 1.65e-06 2.23e-07 8.42e-08 1.74e-08 5.83e-10 1.05e-11 5.04e-14  2.6e-16 8.26e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 3.600e+04 7.100e+07 1.140e-01 8.430e+00 1.14e-09 2.01e-09    3e-09 2.04e-08 1.34e-05  0.00325    0.248    0.572    0.122   0.0494  0.00586 0.000583 5.49e-05 6.42e-06 1.01e-06 4.12e-07 1.09e-07 5.16e-09 1.26e-10 7.97e-13 4.79e-15 2.03e-17 2.32e-19    1e-20    1e-20    1e-20    1e-20
