i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
1        3 1.040e+04 7.090e+07 2.530e-02 1.860e+00  7.6e-10 9.85e-06 0.000562   0.0102     0.06    0.318    0.469     0.14  0.00211  9.1e-05 1.19e-06 1.56e-07 2.55e-09 1.95e-12 4.84e-16
1        3 1.040e+04 7.090e+07 3.420e-02 2.510e+00 1.43e-10  2.5e-06 0.000193  0.00471   0.0351    0.252    0.502    0.202  0.00406 0.000199  3.3e-06 4.79e-07 9.96e-09 1.03e-11 3.46e-15
1        3 1.040e+04 7.090e+07 4.630e-02 3.400e+00 2.49e-11  5.9e-07 6.16e-05  0.00203   0.0194    0.188    0.507    0.276  0.00742  0.00042 8.82e-06 1.43e-06 3.77e-08 5.28e-11 2.39e-14
1        3 1.040e+04 7.090e+07 6.260e-02 4.600e+00 4.07e-12  1.3e-07 1.84e-05 0.000817   0.0102    0.133    0.485    0.357   0.0129  0.00086 2.28e-05 4.17e-06 1.39e-07 2.64e-10 1.62e-13
1        3 1.040e+04 7.090e+07 8.470e-02 6.230e+00 6.26e-13 2.71e-08 5.18e-06  0.00031  0.00506   0.0898    0.442    0.439   0.0214  0.00172 5.73e-05  1.2e-05 5.04e-07 1.29e-09 1.07e-12
1        3 1.040e+04 7.090e+07 1.150e-01 8.430e+00 9.15e-14 5.35e-09 1.38e-06 0.000112  0.00241   0.0578    0.385    0.517   0.0339  0.00334 0.000141 3.39e-05  1.8e-06 6.25e-09    7e-12
1        3 1.040e+04 7.090e+07 1.550e-01 1.140e+01 1.27e-14    1e-09 3.51e-07 3.84e-05   0.0011   0.0357    0.321    0.584   0.0515  0.00635  0.00034 9.52e-05 6.39e-06    3e-08 4.55e-11
1        3 1.040e+04 7.090e+07 2.100e-01 1.540e+01 1.67e-15  1.8e-10 8.52e-08 1.26e-05 0.000481   0.0211    0.258    0.633   0.0754   0.0118 0.000805 0.000265 2.25e-05 1.43e-07 2.94e-10
1        3 1.040e+04 7.090e+07 2.840e-01 2.090e+01 2.11e-16  3.1e-11 1.98e-08 3.97e-06 0.000203    0.012    0.198    0.659    0.106   0.0214  0.00188 0.000735 7.92e-05  6.8e-07 1.89e-09
1        3 1.040e+04 7.090e+07 3.840e-01 2.820e+01 2.63e-17  5.1e-12 4.41e-09 1.19e-06 8.19e-05  0.00658    0.147    0.659    0.143   0.0376  0.00427  0.00202 0.000276 3.21e-06  1.2e-08
