                 r                   i01                i02                    i03                    i04 i05 i06 i07 i08
4184481600000000.0   0.30643802710344037 121603.03762620705     0.1681075089426331 1.7373755330594366e-18 0.0 0.0 0.0 0.0
4284446400000000.0    0.2530700215555606 103079.70372532007    0.12583017582197356  1.013382015438957e-18 0.0 0.0 0.0 0.0
4384411200000000.0   0.21413235538928335  87711.65375873989    0.09027204056322537  5.273765866528664e-19 0.0 0.0 0.0 0.0
4484376000000000.0   0.18178776439024774  74906.96242337395     0.0653293818877546 2.7949816255086126e-19 0.0 0.0 0.0 0.0
4584340800000000.0   0.15170400346856824  64194.54448342462    0.05010029903268977  1.712208305304492e-19 0.0 0.0 0.0 0.0
4684305600000000.0   0.12657439749466914 55197.563915428356   0.039015713837199664  1.086389547426978e-19 0.0 0.0 0.0 0.0
4784270400000000.0   0.10687208619060701  47613.10309316995    0.02993292247812424   6.60571820708719e-20 0.0 0.0 0.0 0.0
4884235200000000.0   0.08877068822720241  41196.52463800997   0.024252249024618377  4.605320640633897e-20 0.0 0.0 0.0 0.0
4984200000000000.0   0.07558281795231928  35749.36931905021    0.01872477940805678  2.824283157889421e-20 0.0 0.0 0.0 0.0
5084164800000000.0   0.06505622490776325 31109.949959828875   0.014250528648829124 1.6625649656021916e-20 0.0 0.0 0.0 0.0
5184129600000000.0   0.05587792796903703 27145.993126848625   0.011047006715014462 1.0234841322868168e-20 0.0 0.0 0.0 0.0
5284094400000000.0  0.047660185692020254 23748.859038184124   0.008817181943738095                    0.0 0.0 0.0 0.0 0.0
5384059200000000.0   0.04196880270782738  20828.97786399824   0.006578474029716402                    0.0 0.0 0.0 0.0 0.0
5484024000000000.0    0.0355819807169204 18312.235118701967    0.00544922791777541                    0.0 0.0 0.0 0.0 0.0
5583988800000000.0  0.031488299538506556 16137.082839572578   0.004104629868490713                    0.0 0.0 0.0 0.0 0.0
5683953600000000.0  0.027359300338067216  14252.24091706904  0.0032683829170826097                    0.0 0.0 0.0 0.0 0.0
5783918400000000.0  0.023197149353439816 12614.840406135674    0.00279206758925112                    0.0 0.0 0.0 0.0 0.0
5883883200000000.0  0.020682136737052267 11188.930330616166  0.0021243001516603223                    0.0 0.0 0.0 0.0 0.0
5983848000000000.0  0.018202146333770642  9944.272469339645  0.0016868584498806309                    0.0 0.0 0.0 0.0 0.0
6083812800000000.0  0.016245116362680487  8855.355474861726  0.0013058924265671426                    0.0 0.0 0.0 0.0 0.0
6183777600000000.0  0.014247866100731296  7900.596501525613  0.0010638404729910761                    0.0 0.0 0.0 0.0 0.0
6283742400000000.0  0.012822923290401035   7061.68443275356  0.0008207732472579308                    0.0 0.0 0.0 0.0 0.0
6383707200000000.0  0.011439233766219695  6323.044114556487  0.0006522319802282257                    0.0 0.0 0.0 0.0 0.0
6483672000000000.0  0.010014643127153307  5671.392345290135  0.0005473429625046965                    0.0 0.0 0.0 0.0 0.0
6583636800000000.0  0.009271836992161697  5095.371841942481 0.00040291975732525384                    0.0 0.0 0.0 0.0 0.0
6683601600000000.0  0.008354069639218338  4585.250367757187 0.00031963608807267983                    0.0 0.0 0.0 0.0 0.0
6783566400000000.0  0.007541857176404476  4132.666636474857  0.0002541755271307948                    0.0 0.0 0.0 0.0 0.0
6883531200000000.0  0.006827328140877958  3730.421806915105  0.0002021669652105645                    0.0 0.0 0.0 0.0 0.0
6983496000000000.0  0.006197385580631442  3372.303988595079 0.00016081176208331831                    0.0 0.0 0.0 0.0 0.0
7083460800000000.0  0.005602004926593766 3052.9414594858217 0.00013006260546629056                    0.0 0.0 0.0 0.0 0.0
7183425600000000.0  0.005132495967005637  2767.679189585245 0.00010247561673906632                    0.0 0.0 0.0 0.0 0.0
