                 r                    i01                    i02                i03                    i04 i05 i06 i07 i08 i09 i10 i11 i12 i13 i14 i15 i16 i17 i18 i19 i20
7083460800000000.0 1.7407003104287925e-16  5.012854419731883e-05  192.4351878542527  6.472695122000717e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7183425600000000.0 1.5075727108326156e-16  4.528765175972676e-05 174.45433517933702  4.663687679480947e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7283390400000000.0 1.2546221939296733e-16 3.9767301585518935e-05  158.3681452939212  3.866696203210728e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7383355200000000.0 1.1242976852127092e-16  3.681531092693659e-05  143.9549555632688 2.5443971323932042e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7483320000000000.0  9.860985323129973e-17 3.3561994131395103e-05 131.02155102034425  1.815543622435699e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7583284800000000.0  8.653167358838246e-17   3.06061602831939e-05 119.39919162298862   1.30688533682729e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7683249600000000.0  7.607322250719309e-17 2.7946388475023146e-05 108.94024802888812  9.447353611990596e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7783214400000000.0  6.702186327440402e-17 2.5555690810013707e-05  99.51533206385236  6.850360209189275e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7883179200000000.0  5.923696089452865e-17 2.3422046002663955e-05  91.01084785191698   4.96418315978418e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7983144000000000.0   5.25247636413253e-17   2.15148768937961e-05   83.3268973054297  3.594314150379714e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8083108800000000.0  4.672253135199356e-17 1.9807324429760477e-05  76.37548498271677  2.599858499773304e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8183073600000000.0  4.169383626588438e-17 1.8275918160039094e-05   70.0789765700476   1.87843321278988e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8283038400000000.0  3.732426015093488e-17  1.690018008771513e-05  64.36877260694814  1.355533020552591e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8383003200000000.0  3.352785169830345e-17 1.5663046797150335e-05  59.18416527148166  9.769705561236547e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8482968000000000.0 3.0215202126358684e-17 1.4548289912035046e-05 54.471351169532774  7.031676423513558e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8582932800000000.0 2.7314202462663717e-17 1.3541948812147871e-05  50.18257732022675 5.0535897187081315e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8682897600000000.0 2.4803888588145575e-17 1.2644901776832604e-05  46.27540107826732  3.610634868841894e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8782862400000000.0 2.2560339720684137e-17  1.182038845790263e-05  42.71204778080911  2.586685922446406e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8882827200000000.0 2.0580356334560426e-17 1.1072239320986724e-05 39.458852114635654  1.850429559605758e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8982792000000000.0  1.885539855321371e-17 1.0402470848142984e-05  36.48577172639066 1.3162985116458282e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9082756800000000.0 1.7271790063557342e-17  9.771940399016828e-06  33.76596297139242   9.43470616298439e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9182721600000000.0 1.5906152291847607e-17  9.213668436148119e-06 31.275410142350395 6.7020756555422095e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9282686400000000.0 1.4689619466946964e-17   8.70410126162696e-06  28.99260130526858  4.753719914577957e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9382651200000000.0 1.3604563344628444e-17   8.23876305066644e-06  26.89824407816927 3.3660002246601032e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9482616000000000.0  1.263537048658878e-17   7.81352197183486e-06 24.975016322293744 2.3790073984167176e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9582580800000000.0 1.1768379737149729e-17  7.424638275189913e-06 23.207347057553356 1.6781774225954292e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9682545600000000.0 1.0991686214299515e-17 7.0687518549288835e-06  21.58122368690499 1.1814281452793912e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9782510400000000.0 1.0294926477337112e-17 6.7428525660894555e-06 20.084022141096593   8.29994922948582e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9882475200000000.0  9.669077131464541e-18  6.444246725509907e-06 18.704357020627626   5.81857063953617e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9982440000000000.0  9.106275470262054e-18  6.170524439127634e-06 17.431949209338114 4.0701068730342487e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.00824048e+16   8.59966307819733e-18  5.919529371564355e-06 16.257508774231468 2.8406717481505283e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.01823696e+16  8.143250751356871e-18  5.689331422877751e-06 15.172631257699916 1.9780624814314828e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.02823344e+16   7.73180234528223e-18  5.478202316369366e-06 14.169705718602886 1.3741725404088805e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.03822992e+16  7.360735088188486e-18   5.28459391823458e-06 13.241833093824122  9.523659461575512e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
     1.0482264e+16  7.027133626693873e-18  5.107677795676867e-06 12.382753636647536    6.5811301605661e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.05822288e+16  6.726550198565485e-18  4.945752533782597e-06 11.586782351305962 4.5359269629293444e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.06821936e+16 6.4542811966125016e-18 4.7968679825476575e-06 10.848751473978753  3.120364138165349e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.07821584e+16 6.2090765355131454e-18  4.660768401874496e-06 10.163959175070904 2.1410320304438728e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.08821232e+16  5.988553756441453e-18  4.536558770110703e-06  9.528123765625953 1.4652084831543716e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
     1.0982088e+16 5.7906218837643684e-18  4.423438019522917e-06  8.937342767383955   1.00003156381456e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.10820528e+16  5.613447041569321e-18  4.320689954533875e-06  8.388056294951403                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
    1.11820176e+16  5.455422883327291e-18  4.227675248208849e-06  7.877014261645925                    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
