       x        z    i    j inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
1.40e+09 3.01e+11    0   23     -1        0  0.00e+00  0.00e+00  1.45e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.40e+09 3.94e+11    0   24     -1        0  0.00e+00  0.00e+00  1.51e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.40e+09 5.15e+11    0   25     -1        0  0.00e+00  0.00e+00  1.56e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.40e+09 6.74e+11    0   26     -1        0  0.00e+00  0.00e+00  1.59e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.40e+09 8.82e+11    0   27     -1        0  0.00e+00  0.00e+00  1.61e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.40e+09 1.15e+12    0   28     -1        0  0.00e+00  0.00e+00  1.62e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.40e+09 1.51e+12    0   29     -1        0  0.00e+00  0.00e+00  1.63e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 3.50e+08    1    0      1        1  0.00e+00  1.95e+08  0.00e+00  0.00e+00 -6.95e-02 -3.63e-11 -3.48e-02 -5.24e-10 -3.44e-08  0.00e+00  0.00e+00  5.64e-01  1.49e-03  5.64e-01  1.00e+00  3.41e+03 
3.14e+09 8.08e+08    1    1      1        0  4.82e+05  1.86e+08  1.45e+06  1.30e-04 -6.66e-02  5.84e-04 -3.33e-02  1.72e-04 -1.11e-02 -1.66e-04 -5.75e-10  1.95e-03  2.36e-03  5.04e-02  1.00e+00  1.08e+03 
3.14e+09 1.06e+09    1    2      1        2  6.16e+05  1.84e+08  1.91e+06  1.58e-04 -6.57e-02  6.55e-04 -3.29e-02  2.20e-04 -1.07e-02 -2.39e-04 -8.62e-10  2.27e-03  2.76e-03  4.98e-02  1.00e+00  1.41e+03 
3.14e+09 1.38e+09    1    3      1        1  8.12e+05  1.81e+08  2.61e+06  1.98e-04 -6.47e-02  7.28e-04 -3.23e-02  2.90e-04 -1.02e-02 -3.53e-04 -1.34e-09  2.65e-03  3.29e-03  4.90e-02  1.00e+00  1.85e+03 
3.14e+09 1.81e+09    1    4      1        0  1.10e+06  1.77e+08  3.67e+06  2.57e-04 -6.34e-02  8.03e-04 -3.17e-02  3.91e-04 -9.58e-03 -5.29e-04 -2.15e-09  3.11e-03  3.96e-03  4.81e-02  1.00e+00  2.42e+03 
3.14e+09 2.37e+09    1    5     -1        0  1.50e+06  1.73e+08  5.32e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 3.10e+09    1    6     -1        0  2.08e+06  1.68e+08  7.87e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 4.06e+09    1    7     -1        0  2.90e+06  1.61e+08  1.19e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 5.31e+09    1    8     -1        0  4.02e+06  1.54e+08  1.81e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 6.95e+09    1    9     -1        0  5.56e+06  1.46e+08  2.80e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 9.10e+09    1   10     -1        0  7.61e+06  1.37e+08  4.37e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 1.19e+10    1   11     -1        0  1.03e+07  1.27e+08  6.86e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 1.56e+10    1   12     -1        0  1.38e+07  1.17e+08  1.08e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 2.04e+10    1   13     -1        0  1.80e+07  1.07e+08  1.70e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 2.67e+10    1   14     -1        0  2.31e+07  9.73e+07  2.65e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 3.49e+10    1   15     -1        0  2.60e+07  8.76e+07  3.66e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 4.57e+10    1   16     -1        0  2.81e+07  7.85e+07  4.94e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
